paper_id,transE_score,year
NOVEL_DIA_0,13.764206886291504,2021.0
NOVEL_DIA_1,13.887439727783203,2021.0
NOVEL_DIA_2,12.744154930114746,2021.0
NOVEL_DIA_3,13.695125579833984,2021.0
NOVEL_DIA_4,14.023001670837402,2021.0
NOVEL_DIA_5,13.932812690734863,2021.0
NOVEL_DIA_6,13.567558288574219,2021.0
NOVEL_DIA_8,12.796449661254883,2021.0
NOVEL_DIA_10,13.77225112915039,2021.0
NOVEL_DIA_11,12.647415161132812,2021.0
NOVEL_DIA_12,13.626029968261719,2021.0
NOVEL_DIA_13,13.983545303344727,2021.0
NOVEL_DIA_14,14.077194213867188,2021.0
NOVEL_DIA_16,12.63183307647705,2021.0
NOVEL_DIA_17,13.593910217285156,2021.0
NOVEL_DIA_18,13.685982704162598,2021.0
NOVEL_DIA_20,13.77731704711914,2021.0
NOVEL_DIA_21,13.886266708374023,2021.0
NOVEL_DIA_22,13.726430892944336,2021.0
NOVEL_DIA_23,13.546191215515137,2021.0
NOVEL_DIA_24,13.889461517333984,2021.0
NOVEL_DIA_25,14.192160606384277,2021.0
NOVEL_DIA_26,13.809305191040039,2021.0
NOVEL_DIA_28,13.637438774108887,2021.0
NOVEL_DIA_29,13.812708854675293,2021.0
NOVEL_DIA_30,14.04162883758545,2021.0
NOVEL_DIA_31,13.838233947753906,2021.0
NOVEL_DIA_33,13.093387603759766,2021.0
NOVEL_DIA_34,13.693197250366211,2021.0
NOVEL_DIA_35,12.751448631286621,2021.0
NOVEL_DIA_37,14.041743278503418,2021.0
NOVEL_DIA_39,13.762886047363281,2021.0
NOVEL_DIA_40,13.340493202209473,2021.0
NOVEL_DIA_41,12.643660545349121,2021.0
NOVEL_DIA_42,13.634111404418945,2021.0
NOVEL_DIA_43,14.05176067352295,2021.0
NOVEL_DIA_44,13.744736671447754,2021.0
NOVEL_DIA_45,13.930399894714355,2021.0
NOVEL_DIA_47,13.31761646270752,2021.0
NOVEL_DIA_49,13.074172973632812,2021.0
NOVEL_DIA_50,13.801544189453125,2021.0
NOVEL_DIA_51,12.882576942443848,2021.0
NOVEL_DIA_52,13.576591491699219,2021.0
NOVEL_DIA_53,13.588911056518555,2021.0
NOVEL_DIA_54,13.901490211486816,2021.0
NOVEL_DIA_55,13.806681632995605,2021.0
NOVEL_DIA_56,13.927033424377441,2021.0
NOVEL_DIA_59,12.903467178344727,2021.0
NOVEL_DIA_63,13.74788761138916,2021.0
NOVEL_DIA_65,13.423755645751953,2021.0
NOVEL_DIA_66,12.598655700683594,2021.0
NOVEL_DIA_67,13.700597763061523,2021.0
NOVEL_DIA_68,13.573966979980469,2021.0
NOVEL_DIA_69,13.773580551147461,2021.0
NOVEL_DIA_70,13.942117691040039,2021.0
NOVEL_DIA_71,13.494514465332031,2021.0
NOVEL_MT_0,13.845006942749023,2021.0
NOVEL_MT_2,13.887441635131836,2021.0
NOVEL_MT_4,14.040340423583984,2021.0
NOVEL_MT_5,13.763240814208984,2021.0
NOVEL_MT_9,13.506210327148438,2020.0
NOVEL_MT_10,13.40137004852295,2021.0
NOVEL_MT_11,12.581300735473633,2021.0
NOVEL_MT_15,12.732592582702637,2021.0
NOVEL_MT_16,13.57565975189209,2021.0
NOVEL_MT_17,13.828207969665527,2021.0
NOVEL_MT_19,13.518149375915527,2021.0
NOVEL_MT_21,14.134113311767578,2021.0
NOVEL_MT_23,13.939651489257812,2021.0
NOVEL_MT_24,12.73124885559082,2021.0
NOVEL_MT_25,13.853681564331055,2021.0
NOVEL_MT_26,13.714456558227539,2021.0
NOVEL_MT_29,13.90775203704834,2021.0
NOVEL_MT_31,13.725810050964355,2021.0
NOVEL_MT_35,14.110495567321777,2021.0
NOVEL_MT_37,12.718989372253418,2021.0
NOVEL_MT_39,13.63603401184082,2021.0
NOVEL_MT_40,12.853204727172852,2021.0
NOVEL_MT_42,14.06649398803711,2021.0
NOVEL_MT_45,13.53803539276123,2021.0
NOVEL_MT_47,12.824843406677246,2021.0
NOVEL_MT_49,13.860311508178711,2021.0
NOVEL_MT_52,13.51647663116455,2021.0
NOVEL_MT_53,12.91822624206543,2021.0
NOVEL_MT_54,12.67513370513916,2021.0
NOVEL_MT_60,13.709769248962402,2022.0
NOVEL_MT_61,13.783344268798828,2021.0
NOVEL_MT_62,13.59572982788086,2021.0
NOVEL_MT_63,12.814955711364746,2021.0
NOVEL_MT_64,13.788688659667969,2021.0
NOVEL_MT_66,12.688263893127441,2021.0
NOVEL_MT_67,13.491703987121582,2021.0
NOVEL_MT_71,13.733512878417969,2021.0
NOVEL_MT_74,13.52455997467041,2021.0
NOVEL_MT_77,13.566816329956055,2021.0
NOVEL_MT_78,12.782637596130371,2021.0
NOVEL_MT_81,14.202675819396973,2021.0
NOVEL_MT_82,13.633221626281738,2021.0
NOVEL_MT_83,13.686161994934082,2021.0
NOVEL_MT_86,12.994460105895996,2021.0
NOVEL_MT_88,13.420888900756836,2021.0
