paper_id,year,semantic_knn,structural_novelty,triple_count,cited_by_count,reference_count,citation_signal,struct_norm,semantic_norm,citation_norm,composite_novelty,transE_score,final_novelty_score
SKG_MT_646,2010,1.0,1.0,30.0,17,11,2.8903717578961645,0.999999999,0.9999999976718494,0.3108784017397958,0.9310878383442742,13.683780670166016,0.26637118190842746
SKG_QA_416,2010,1.0,1.0,42.0,2,7,1.0986122886681098,0.999999999,0.9999999976718494,0.1181629427079084,0.9118162924410856,13.822637557983398,0.23457996098960532
SKG_MT_660,2010,1.0,1.0,36.0,20,18,3.044522437723423,0.999999999,0.9999999976718494,0.3274583163618105,0.9327458298064756,13.82839584350586,0.23326160415448044
SKG_MT_388,2010,1.0,1.0,61.0,32,29,3.49650756146648,0.999999999,0.9999999976718494,0.3760722749280544,0.9376072256631,13.876880645751953,0.2221610308689973
SKG_MT_1313,2010,1.0,1.0,50.0,7,24,2.079441541679836,0.999999999,0.9999999976718494,0.2236575489719367,0.9223657530674884,13.62307357788086,0.280270042904901
SKG_SA_83,2010,1.0,1.0,55.0,8,14,2.19722457733622,0.999999999,0.9999999976718494,0.2363258854158169,0.9236325867118764,13.824490547180176,0.2341557199610118
SKG_MT_795,2010,1.0,1.0,78.0,35,27,3.58351893845611,0.999999999,0.9999999976718494,0.3854309180637747,0.938543089976672,13.6951904296875,0.26375892268758716
SKG_MT_1384,2010,1.0,1.0,146.0,30,13,3.4339872044851463,0.999999999,0.9999999976718494,0.3693478013023136,0.936934778300526,13.600703239440918,0.2853917216530831
SKG_MT_1167,2010,1.0,1.0,74.0,7,15,2.079441541679836,0.999999999,0.9999999976718494,0.2236575489719367,0.9223657530674884,13.572421073913574,0.2918669105074161
SKG_MT_853,2010,1.0,1.0,66.0,5,7,1.791759469228055,0.999999999,0.9999999976718494,0.1927154590318873,0.9192715440734832,13.283201217651367,0.35808366423902876
SKG_MT_838,2010,1.0,1.0,133.0,88,27,4.48863636973214,0.999999999,0.9999999976718494,0.4827822223218583,0.9482782204024804,13.563994407653809,0.29379619189117945
SKG_MT_850,2010,1.0,1.0,128.0,63,21,4.158883083359672,0.999999999,0.9999999976718494,0.4473150979438735,0.944731507964682,13.690059661865234,0.26493360963243173
SKG_MT_1325,2010,1.0,1.0,107.0,34,21,3.555348061489413,0.999999999,0.9999999976718494,0.3824009558510974,0.9382400937554044,13.899978637695312,0.21687275618421364
SKG_SA_217,2010,1.0,1.0,35.0,56,18,4.04305126783455,0.999999999,0.9999999976718494,0.4348566279969905,0.9434856609699936,13.690239906311035,0.2648923427490534
SKG_MT_1320,2010,1.0,1.0,54.0,2,13,1.0986122886681098,0.999999999,0.9999999976718494,0.1181629427079084,0.9118162924410856,13.961883544921875,0.2026996560050775
SKG_SA_420,2010,1.0,1.0,46.0,65,15,4.189654742026425,0.999999999,0.9999999976718494,0.4506247912520332,0.945062477295498,13.969465255737305,0.20096382678360636
SKG_MT_1375,2010,1.0,1.0,71.0,7,15,2.079441541679836,0.999999999,0.9999999976718494,0.2236575489719367,0.9223657530674884,13.536005020141602,0.3002043493529349
SKG_MT_1394,2010,1.0,1.0,28.0,2,13,1.0986122886681098,0.999999999,0.9999999976718494,0.1181629427079084,0.9118162924410856,14.053350448608398,0.18175835026529208
SKG_MT_1193,2010,1.0,1.0,95.0,4,29,1.6094379124341005,0.999999999,0.9999999976718494,0.1731055821971953,0.917310556390014,13.65212631225586,0.27361843266554303
SKG_MT_715,2010,1.0,1.0,30.0,296,15,5.6937321388027,0.999999999,0.9999999976718494,0.6123981603438713,0.9612398142046816,13.6295804977417,0.278780286580612
SKG_DIA_209,2010,1.0,1.0,54.0,43,28,3.784189633918261,0.999999999,0.9999999976718494,0.4070143648681038,0.940701434657105,13.707903861999512,0.2608481881779732
SKG_DIA_210,2010,1.0,1.0,50.0,28,23,3.367295829986474,0.999999999,0.9999999976718494,0.3621747074408277,0.9362174689143774,13.686580657958984,0.2657301259846238
SKG_MT_743,2010,1.0,1.0,92.0,5,21,1.791759469228055,0.999999999,0.9999999976718494,0.1927154590318873,0.9192715440734832,13.66098690032959,0.271589805081054
SKG_MT_771,2010,1.0,1.0,57.0,32,38,3.49650756146648,0.999999999,0.9999999976718494,0.3760722749280544,0.9376072256631,13.930397033691406,0.20990847834169257
SKG_MT_620,2011,0.9220904111862184,1.0,2.0,6,17,1.9459101490553128,0.999999999,0.8186147490281238,0.2092953736539021,0.7939598614850767,13.989938735961914,0.27789979474541604
SKG_MT_964,2011,0.9301103353500366,0.8536585365853658,41.0,4,13,1.6094379124341005,0.8536585357317072,0.8372863395307382,0.1731055821971953,0.7741427030375776,13.91370964050293,0.28695019553881546
SKG_MT_966,2011,0.9168069958686828,0.9166666666666666,12.0,17,10,2.8903717578961645,0.91666666575,0.8063141629815223,0.3108784017397958,0.7788410874110451,13.71751880645752,0.34580547665517747
SKG_MT_1227,2011,0.8963740468025208,0.8888888888888888,9.0,56,15,4.04305126783455,0.8888888879999999,0.7587431822675954,0.4348566279969905,0.7523836679870157,13.565386772155762,0.40204297760757823
SKG_MT_1220,2011,0.9335318803787231,0.8818181818181818,110.0,2,23,1.0986122886681098,0.8818181809363635,0.8452522113216598,0.1181629427079084,0.7798564783832255,13.610506057739258,0.3527838747474607
SKG_MT_1399,2011,0.9141175150871276,0.9791666666666666,48.0,18,46,2.9444389791664403,0.9791666656875,0.8000526469382158,0.3166936852890821,0.7875395545231592,13.588820457458496,0.3780885869800145
SKG_QA_392,2011,0.9164015650749208,0.9090909090909092,44.0,8,26,2.19722457733622,0.909090908181818,0.8053702590737489,0.2363258854158169,0.7692099515295695,13.551064491271973,0.3843398726986524
SKG_MT_595,2011,0.9287808537483216,0.8243243243243243,74.0,11,17,2.4849066497880004,0.8243243235,0.8341911062665668,0.2672679753558662,0.7755254366221832,13.79883098602295,0.31464446587740175
SKG_QA_302,2011,0.9208142161369324,0.9157894736842104,95.0,248,28,5.517452896464707,0.9157894727684208,0.8156435748779699,0.5934381739794093,0.813452214366204,13.656554222106934,0.3555650549887901
SKG_MT_962,2011,0.9182705879211426,0.8363636363636363,55.0,139,21,4.941642422609304,0.8363636355272726,0.8097216255594976,0.5315059884990553,0.7872284638470082,13.932293891906738,0.2950994609719357
SKG_QA_240,2011,0.90122252702713,0.8846153846153846,52.0,9,27,2.302585092994046,0.8846153837307691,0.7700311739573856,0.2476580985211743,0.7407107083684411,13.887256622314453,0.32327142645502105
SKG_PAR_14,2011,0.918910801410675,0.9642857142857144,28.0,28,35,3.367295829986474,0.9642857133214288,0.8112121389193033,0.3621747074408277,0.7969231106518808,14.01267147064209,0.2760263200928498
SKG_MT_496,2011,0.9401029348373412,0.896551724137931,58.0,9,31,2.302585092994046,0.8965517232413792,0.8605506150865255,0.2476580985211743,0.8064615850609611,13.456328392028809,0.3811984990592547
SKG_MT_565,2011,0.9278997182846068,0.8545454545454545,55.0,7,15,2.079441541679836,0.854545453690909,0.8321396902905857,0.2236575489719367,0.7757726288387855,14.022679328918457,0.2643176274034309
SKG_PAR_34,2011,0.891863226890564,0.8333333333333334,12.0,6,11,1.9459101490553128,0.8333333325,0.7482413146056701,0.2092953736539021,0.7113651240893593,14.004385948181152,0.30626015760959996
SKG_MT_58,2011,0.9207253456115724,0.9130434782608696,92.0,10,16,2.3978952727983707,0.913043477347826,0.8154366709193563,0.2579093322201459,0.7792052983351293,13.868082046508789,0.30722896317771886
SKG_MT_557,2011,0.9079809188842772,0.896551724137931,58.0,37,23,3.6375861597263857,0.8965517232413792,0.7857657273814891,0.391246201613061,0.7684709739766243,13.843046188354492,0.3263128360366849
SKG_MT_87,2011,0.9376262426376344,0.8852459016393442,61.0,20,26,3.044522437723423,0.8852459007540983,0.8547845028877877,0.3274583163618105,0.8081441638084521,13.714123725891113,0.3247711258392998
SKG_SA_567,2011,0.9218093752861024,0.8863636363636364,132.0,38,20,3.6635616461296463,0.8863636354772726,0.8179604551549757,0.3940400352005221,0.7892490492239898,13.776588439941406,0.3270406796238279
SKG_PAR_94,2011,0.9246967434883118,0.8983050847457628,59.0,25,37,3.258096538021482,0.8983050838474576,0.824682682896872,0.3504296088165927,0.7919818556789612,13.98553466796875,0.2761775338560207
SKG_MT_409,2011,0.9176657795906068,0.88,100.0,14,22,2.70805020110221,0.8799999991199999,0.8083135407385362,0.2912685249051038,0.7709463308314857,13.205201148986816,0.46220064988353554
SKG_MT_144,2011,0.928850531578064,0.7692307692307693,26.0,15,17,2.772588722239781,0.7692307684615385,0.8343533267411605,0.2982100652959156,0.7677144889407115,13.88029670715332,0.295919927093303
SKG_MT_117,2011,0.9307611584663392,0.8529411764705882,68.0,3,16,1.3862943611198906,0.8529411756176469,0.8388015536984806,0.1491050326479578,0.7726598259772616,13.698277473449707,0.3355914452190117
SKG_MT_1024,2011,0.9238992929458618,0.8181818181818182,55.0,26,27,3.295836866004329,0.8181818173636364,0.8228260980127046,0.3544888281237253,0.7750635148939929,13.707799911499023,0.3406002424441028
SKG_SA_505,2011,0.919154167175293,0.9066666666666666,75.0,164,31,5.10594547390058,0.90666666576,0.8117787310474187,0.5491778571252497,0.8044962305977179,13.618017196655273,0.36612726905347215
SKG_MT_1306,2011,0.9360068440437316,0.9145299145299144,117.0,18,34,2.9444389791664403,0.9145299136153844,0.8510142992314644,0.3166936852890821,0.8102853607140101,13.877154350280762,0.28914193064055893
SKG_SA_192,2011,0.9257241487503052,0.811965811965812,117.0,246,10,5.5093883366279774,0.8119658111538461,0.8270746369777743,0.5925707777816959,0.8006024858933808,13.905771255493164,0.29336295130268386
SKG_SA_181,2011,0.8732401132583618,0.875,8.0,18,15,2.9444389791664403,0.8749999991249999,0.7048839031736667,0.3166936852890821,0.7000881005754749,13.251117706298828,0.4982314120045609
SKG_DIA_253,2011,0.8462539911270142,1.0,9.0,1,2,0.6931471805599453,0.999999999,0.6420561492700474,0.0745525163239789,0.6568945559214311,13.78768539428711,0.4036569746530472
SKG_MT_789,2011,0.9372465014457704,0.8125,48.0,2,21,1.0986122886681098,0.8124999991874999,0.8539004082396803,0.1181629427079084,0.7720465798760671,13.91788387298584,0.2785181760031401
SKG_MT_1330,2011,0.9063087701797484,0.8867924528301887,53.0,17,26,2.8903717578961645,0.8867924519433962,0.7818727135284036,0.3108784017397958,0.7557572300325412,14.065571784973145,0.2771175587621506
SKG_DIA_288,2011,0.9205222129821776,0.8925619834710744,121.0,14,37,2.70805020110221,0.8925619825785124,0.8149637475853815,0.2912685249051038,0.7781138723159798,13.763387680053711,0.3314115059651897
SKG_MT_881,2011,0.9359639883041382,0.8529411764705882,102.0,43,24,3.784189633918261,0.8529411756176469,0.8509145246196316,0.4070143648681038,0.8069298388440818,13.731078147888184,0.32263090890282364
SKG_SA_343,2011,0.9128748178482056,0.896551724137931,116.0,140,21,4.948759890378168,0.8965517232413792,0.7971594607322212,0.5322715187455969,0.7905491190353904,13.562344551086426,0.3854521674200681
SKG_SA_351,2011,0.9250504374504088,0.8625,160.0,108,41,4.691347882229144,0.8624999991375,0.8255061356738094,0.50458517235663,0.8008128120348295,13.510492324829102,0.38456770716812777
SKG_SUM_130,2011,0.9118784070014954,0.8333333333333334,24.0,22,10,3.1354942159291497,0.8333333325,0.7948396663149535,0.3372429265714705,0.7567787255776144,14.067524909973145,0.27083526293328836
SKG_SUM_110,2011,0.9012225866317748,0.8846153846153846,52.0,9,27,2.302585092994046,0.8846153837307691,0.7700313127259696,0.2476580985211743,0.7407108055064499,13.887253761291504,0.32327201903905317
SKG_MT_800,2011,0.9198769330978394,0.875,104.0,12,24,2.5649493574615367,0.8749999991249999,0.8134614388959435,0.2758770924926137,0.7720107163014218,13.395200729370117,0.4163837787360397
SKG_MT_1277,2011,0.9274735450744628,0.8761904761904762,105.0,10,45,2.3978952727983707,0.8761904753142856,0.8311474949156102,0.2579093322201459,0.782832274725799,13.764001846313477,0.32398820658248273
SKG_MT_697,2011,0.9403055310249328,0.9041095890410958,73.0,5,34,1.791759469228055,0.9041095881369862,0.8610222895032447,0.1927154590318873,0.8028090661828571,13.70969295501709,0.3229785448262378
SKG_DIA_213,2011,0.9085873365402222,0.8157894736842105,38.0,53,43,3.9889840465642745,0.815789472868421,0.7871775589542166,0.4290413444477043,0.7570863202864063,13.975214958190918,0.295417532461101
SKG_MT_712,2011,0.9355198740959167,0.8313253012048193,83.0,15,35,2.772588722239781,0.831325300373494,0.8498805599008984,0.2982100652959156,0.7910024585349191,13.437576293945312,0.39029330816722546
SKG_SA_77,2011,0.9285492897033693,0.8581560283687943,141.0,167,27,5.123963979403259,0.8581560275106382,0.8336519903180662,0.5511158653337473,0.8102991852581487,13.5208158493042,0.3785385063741336
SKG_MT_919,2011,0.9286754727363586,0.953125,64.0,8,82,2.19722457733622,0.953124999046875,0.833945763410209,0.2363258854158169,0.7980196227381029,13.768169403076172,0.3217748255463499
SKG_MT_820,2011,0.9412185549736024,0.9285714285714286,224.0,14,15,2.70805020110221,0.928571427642857,0.8631479466716191,0.2912685249051038,0.8190447006892151,13.588113784790039,0.34985749448402204
SKG_SA_423,2011,0.9030024409294128,0.8759124087591241,137.0,846,32,6.741700694652055,0.8759124078832117,0.7741750814101854,0.725114038094194,0.7896164423731915,13.611804008483887,0.38447141797864026
SKG_MT_813,2011,0.9405171275138856,0.896551724137931,29.0,9,28,2.302585092994046,0.8965517232413792,0.8615149179761351,0.2476580985211743,0.8071365970836878,13.524801254272461,0.3650877322844142
SKG_DIA_233,2011,0.8982078433036804,1.0,2.0,8,20,2.19722457733622,0.999999999,0.7630125365202519,0.2363258854158169,0.7577413639057581,13.327726364135742,0.45453400984629877
SKG_QA_336,2011,0.9182705879211426,0.8363636363636363,55.0,139,21,4.941642422609304,0.8363636355272726,0.8097216255594976,0.5315059884990553,0.7872284638470082,13.932291984558105,0.2950998976585323
SKG_MT_1003,2011,0.9326593279838562,0.875,56.0,6,9,1.9459101490553128,0.8749999991249999,0.8432207780217625,0.2092953736539021,0.7861840818056239,13.754423141479492,0.3207482692728218
SKG_MT_440,2011,0.9285810589790344,0.9,80.0,11,20,2.4849066497880004,0.8999999991,0.8337259539732914,0.2672679753558662,0.7903349651368906,13.748942375183105,0.32627575902995387
SKG_MT_308,2011,0.9181753396987916,0.8275862068965517,116.0,3,14,1.3862943611198906,0.8275862060689655,0.8094998733624055,0.1491050326479578,0.7470776558322727,13.538188934326172,0.38542939913908164
SKG_MT_1132,2011,0.8417948484420776,0.8636363636363636,22.0,17,14,2.8903717578961645,0.8636363627727273,0.6316745939703744,0.3108784017397958,0.6459873285077871,13.273755073547363,0.5259927862743368
SKG_MT_300,2011,0.9275730848312378,0.8958333333333334,48.0,14,38,2.70805020110221,0.8958333324375,0.8313792384507446,0.2912685249051038,0.7902589858935316,14.188250541687012,0.22675237734060658
SKG_MT_368,2011,0.9286657571792604,0.8672566371681416,113.0,62,21,4.143134726391533,0.8672566363008849,0.8339231441310315,0.445621259069719,0.801759654058871,13.642997741699219,0.350442998810222
SKG_SUM_80,2011,0.9196549654006958,0.9345794392523364,107.0,76,26,4.343805421853684,0.9345794383177568,0.8129446646894527,0.467204705874048,0.802697623533573,14.08869457244873,0.25784122912913904
SKG_PAR_215,2011,0.9362363815307616,0.8181818181818182,22.0,62,49,4.143134726391533,0.8181818173636364,0.8515486970481121,0.445621259069719,0.8042825773133776,13.402694702148438,0.39752877092953615
SKG_PAR_89,2011,0.9220905303955078,1.0,2.0,6,17,1.9459101490553128,0.999999999,0.8186150265652914,0.2092953736539021,0.7939600557610942,13.989936828613281,0.27790010654028724
SKG_SUM_45,2011,0.9024702906608582,0.9130434782608696,69.0,39,22,3.688879454113936,0.913043477347826,0.7729361554930132,0.3967631311691321,0.7633403174315877,14.091057777404785,0.27530400357435375
SKG_MT_280,2011,0.9221900701522828,0.9047619047619048,42.0,97,25,4.584967478670572,0.9047619038571428,0.8188467701004257,0.4931432636317832,0.803459446204905,13.4638671875,0.3982392255299519
SKG_QA_5,2011,0.9236072301864624,0.8932038834951457,206.0,15,60,2.772588722239781,0.8932038826019417,0.8221461319515326,0.2982100652959156,0.7839640754160526,14.137384414672852,0.24255305176658581
SKG_MT_1111,2011,0.8417948484420776,0.8717948717948718,39.0,17,14,2.8903717578961645,0.8717948709230768,0.6316745939703744,0.3108784017397958,0.647619030137857,13.333890914916992,0.5122247129135439
SKG_MT_286,2011,0.9354451298713684,0.8985507246376812,69.0,17,46,2.8903717578961645,0.8985507237391304,0.8497065440966719,0.3108784017397958,0.805592565789476,13.383980751037598,0.40264229030019083
SKG_MT_1129,2011,0.9168069958686828,0.7037037037037037,27.0,17,10,2.8903717578961645,0.703703703,0.8063141629815223,0.3108784017397958,0.736248494861045,13.957159996032715,0.29093973597219597
SKG_MT_389,2012,0.806627094745636,0.8333333333333334,6.0,26,18,3.295836866004329,0.8333333325,0.5497987703959855,0.3544888281237253,0.5869746885895624,12.886378288269043,0.6515266445917721
SKG_MT_283,2012,0.934609055519104,0.8592592592592593,135.0,8,35,2.19722457733622,0.8592592584,0.8477600371701293,0.2363258854158169,0.7889164662406721,13.79251480102539,0.30998453463542797
SKG_SUM_72,2012,0.9247158765792848,0.8365384615384616,104.0,27,22,3.332204510175204,0.8365384607019231,0.8247272276123081,0.3584004063018599,0.7804567920991863,13.66793441772461,0.3488719206797448
SKG_MT_234,2012,0.9317084550857544,0.8648648648648649,111.0,87,17,4.477336814478207,0.864864864,0.8410070028026041,0.4815668811920827,0.8098345628810311,13.73095989227295,0.327116368289475
SKG_MT_1191,2012,0.9397331476211548,0.8809523809523809,42.0,10,12,2.3978952727983707,0.8809523800714285,0.8596896947919318,0.2579093322201459,0.8037641955906526,13.856315612792969,0.29000902204946377
SKG_MT_1400,2012,0.9392881393432616,0.7241379310344828,29.0,22,21,3.1354942159291497,0.7241379303103448,0.8586536485444397,0.3372429265714705,0.7796094327003238,14.040909767150879,0.2482124956989272
SKG_QA_417,2012,0.8839455842971802,0.8,80.0,66,28,4.204692619390966,0.7999999992,0.7298078509930496,0.4522422133943151,0.7160897168745661,13.499212265014648,0.4302144998067413
SKG_MT_622,2012,0.9146378636360168,0.9285714285714286,42.0,2,0,1.0986122886681098,0.928571427642857,0.8012640966757735,0.1181629427079084,0.7584154474724036,14.06378173828125,0.26880126671674004
SKG_MT_1425,2012,0.9386529922485352,0.8225806451612904,62.0,8,20,2.19722457733622,0.8225806443387097,0.8571749305142667,0.2363258854158169,0.7881711687693103,13.55124568939209,0.36098628532374266
SKG_DIA_182,2012,0.924604058265686,0.88,25.0,37,37,3.6375861597263857,0.8799999991199999,0.8244668977488877,0.391246201613061,0.7922514484095274,13.654122352600098,0.3521513351075376
SKG_MT_1236,2012,0.873160719871521,0.8723404255319149,47.0,26,11,3.295836866004329,0.8723404246595744,0.7046990634198951,0.3544888281237253,0.703206312138214,13.621959686279297,0.4134104882906928
SKG_MT_945,2012,0.939919650554657,0.8363636363636363,55.0,3,12,1.3862943611198906,0.8363636355272726,0.8601239016909944,0.1491050326479578,0.7842699615539463,13.664532661437988,0.33372224788936583
SKG_MT_7,2012,0.953448474407196,0.9020618556701032,194.0,22,26,3.1354942159291497,0.9020618547680412,0.8916210397931517,0.3372429265714705,0.8382713914659614,13.578303337097168,0.33929070008892653
SKG_MT_576,2012,0.9128580093383788,0.8,10.0,3,25,1.3862943611198906,0.7999999992,0.7971203279915576,0.1491050326479578,0.7328947326988862,14.679110527038574,0.12978671803993705
SKG_SA_554,2012,0.9202829599380492,0.8737864077669902,103.0,61,16,4.127134385045092,0.8737864068932037,0.8144067304895561,0.4439003176262926,0.7892320244839592,13.962047576904297,0.2861790711898021
SKG_MT_613,2012,0.9293379783630372,0.9,110.0,19,41,2.995732273553991,0.8999999991,0.8354881762203984,0.3222106148451532,0.7970627846587942,13.7152681350708,0.33319246088166704
SKG_MT_1473,2012,0.945178210735321,0.8723404255319149,47.0,34,30,3.555348061489413,0.8723404246595744,0.8723666212381039,0.3824009558510974,0.8233648153836974,13.54838752746582,0.35480439936301583
SKG_MT_92,2012,0.9361969828605652,0.8095238095238095,21.0,24,28,3.218875824868201,0.8095238087142856,0.8514569710141461,0.3462111643943907,0.7925457578921985,14.056971549987793,0.24777366275762014
SKG_QA_203,2012,0.918955624103546,0.819672131147541,61.0,8,12,2.19722457733622,0.8196721303278688,0.8113164928944054,0.2363258854158169,0.7554885596332391,13.661764144897461,0.35631943244279074
SKG_MT_78,2012,0.9361068606376648,0.9019607843137256,51.0,239,33,5.480638923341991,0.9019607834117648,0.8512471529152702,0.5894785902010194,0.835213022743144,13.89095687866211,0.28587706392657575
SKG_MT_981,2012,0.8982251286506653,0.9444444444444444,18.0,1,9,0.6931471805599453,0.9444444435,0.7630527794095866,0.0745525163239789,0.7304810859191084,14.234793663024902,0.24684325757897974
SKG_MT_74,2012,0.9288231134414672,0.8235294117647058,102.0,45,46,3.828641396489095,0.8235294109411764,0.8342894931925604,0.4117954428954494,0.7898880717125726,13.664255142211914,0.3454112696134659
SKG_QA_219,2012,0.7752321362495422,0.9016393442622952,61.0,15,27,2.772588722239781,0.9016393433606558,0.4767065818775154,0.2982100652959156,0.5438434825159835,13.5654296875,0.5289496223346909
SKG_MT_89,2012,0.9286999702453612,0.7946428571428571,112.0,169,21,5.135798437050262,0.7946428563482142,0.8340027972981968,0.5523887387171476,0.7979694032500954,13.58002758026123,0.3648241445283329
SKG_MT_85,2012,0.9423295855522156,0.7708333333333334,48.0,8,14,2.19722457733622,0.7708333325625,0.8657345930757506,0.2363258854158169,0.7838134702071071,13.604388236999512,0.3449674752167032
