paper_id,year,semantic_strict
SKG_MT_1151,2010,1.0
SKG_SUM_67,2010,1.0
SKG_MT_287,2010,1.0
SKG_SUM_83,2010,1.0
SKG_SUM_42,2010,1.0
SKG_MT_1074,2010,1.0
SKG_PAR_202,2010,1.0
SKG_MT_390,2010,1.0
SKG_MT_488,2010,1.0
SKG_MT_157,2010,1.0
SKG_SUM_7,2010,1.0
SKG_MT_194,2010,1.0
SKG_MT_478,2010,1.0
SKG_MT_1199,2010,1.0
SKG_MT_196,2010,1.0
SKG_PAR_219,2010,1.0
SKG_MT_174,2010,1.0
SKG_QA_101,2010,1.0
SKG_MT_1231,2010,1.0
SKG_MT_15,2010,1.0
SKG_MT_17,2010,1.0
SKG_MT_1232,2010,1.0
SKG_MT_603,2010,1.0
SKG_MT_567,2010,1.0
SKG_MT_61,2010,1.0
SKG_SA_544,2010,1.0
SKG_MT_968,2010,1.0
SKG_MT_547,2010,1.0
SKG_PAR_87,2010,1.0
SKG_DIA_104,2010,1.0
SKG_PAR_69,2010,1.0
SKG_MT_137,2010,1.0
SKG_MT_606,2010,1.0
SKG_SA_527,2010,1.0
SKG_MT_585,2010,1.0
SKG_MT_646,2010,1.0
SKG_QA_416,2010,1.0
SKG_MT_660,2010,1.0
SKG_MT_388,2010,1.0
SKG_MT_1313,2010,1.0
SKG_SA_83,2010,1.0
SKG_MT_795,2010,1.0
SKG_MT_1384,2010,1.0
SKG_MT_1167,2010,1.0
SKG_MT_853,2010,1.0
SKG_MT_838,2010,1.0
SKG_MT_850,2010,1.0
SKG_MT_1325,2010,1.0
SKG_SA_217,2010,1.0
SKG_MT_1320,2010,1.0
SKG_SA_420,2010,1.0
SKG_MT_1375,2010,1.0
SKG_MT_1394,2010,1.0
SKG_MT_1193,2010,1.0
SKG_MT_715,2010,1.0
SKG_DIA_209,2010,1.0
SKG_DIA_210,2010,1.0
SKG_MT_743,2010,1.0
SKG_MT_771,2010,1.0
SKG_MT_620,2011,0.07271802425384521
SKG_MT_964,2011,0.06309127807617188
SKG_MT_966,2011,0.0703766942024231
SKG_MT_1227,2011,0.09620392322540283
SKG_MT_1220,2011,0.051350951194763184
SKG_MT_1399,2011,0.07724493741989136
SKG_QA_392,2011,0.07507848739624023
SKG_MT_595,2011,0.03452378511428833
SKG_QA_302,2011,0.07868051528930664
SKG_MT_962,2011,0.06867820024490356
SKG_QA_240,2011,0.09380018711090088
SKG_PAR_14,2011,0.07449007034301758
SKG_MT_496,2011,0.05417436361312866
SKG_MT_565,2011,0.06388461589813232
SKG_PAR_34,2011,0.10002827644348145
SKG_MT_58,2011,0.06994825601577759
SKG_MT_557,2011,0.0806804895401001
SKG_MT_87,2011,0.053793907165527344
SKG_SA_567,2011,0.0682368278503418
SKG_PAR_94,2011,0.06708073616027832
SKG_MT_409,2011,0.06599986553192139
SKG_MT_144,2011,0.06447827816009521
SKG_MT_117,2011,0.06640028953552246
SKG_MT_1024,2011,0.06408524513244629
