paper_id,year,split,domain,final_novelty_score,structural_novelty,disruption_index,contribution_type
SKG_MT_595,2011,SKG,MT,0.3146444658774017,0.8243243243243243,-0.5096798584469227,Incremental
SKG_QA_302,2011,SKG,QA,0.3555650549887901,0.9157894736842104,-0.5602244186954203,Incremental
SKG_MT_962,2011,SKG,MT,0.2950994609719357,0.8363636363636363,-0.5412641753917007,Incremental
SKG_QA_240,2011,SKG,QA,0.323271426455021,0.8846153846153846,-0.5613439581603636,Incremental
SKG_PAR_14,2011,SKG,PAR,0.2760263200928498,0.9642857142857144,-0.6882593941928646,Incremental
SKG_MT_496,2011,SKG,MT,0.3811984990592547,0.896551724137931,-0.5153532250786763,Incremental
SKG_MT_565,2011,SKG,MT,0.2643176274034309,0.8545454545454545,-0.5902278271420236,Incremental
SKG_PAR_34,2011,SKG,PAR,0.3062601576095999,0.8333333333333334,-0.5270731757237335,Incremental
SKG_MT_58,2011,SKG,MT,0.3072289631777188,0.9130434782608696,-0.6058145150831509,Incremental
SKG_MT_557,2011,SKG,MT,0.3263128360366849,0.896551724137931,-0.5702388881012461,Incremental
SKG_MT_87,2011,SKG,MT,0.3247711258392998,0.8852459016393442,-0.5604747758000445,Incremental
SKG_SA_567,2011,SKG,SA,0.3270406796238279,0.8863636363636364,-0.5593229567398085,Incremental
SKG_PAR_94,2011,SKG,PAR,0.2761775338560207,0.8983050847457628,-0.6221275508897421,Incremental
SKG_MT_409,2011,SKG,MT,0.4622006498835355,0.88,-0.4177993501164645,Incremental
SKG_MT_144,2011,SKG,MT,0.295919927093303,0.7692307692307693,-0.47331084213746627,Incremental
SKG_MT_117,2011,SKG,MT,0.3355914452190117,0.8529411764705882,-0.5173497312515765,Incremental
SKG_MT_1024,2011,SKG,MT,0.3406002424441028,0.8181818181818182,-0.4775815757377154,Incremental
SKG_SA_505,2011,SKG,SA,0.3661272690534721,0.9066666666666666,-0.5405393976131945,Incremental
SKG_MT_1306,2011,SKG,MT,0.2891419306405589,0.9145299145299144,-0.6253879838893555,Incremental
SKG_SA_192,2011,SKG,SA,0.2933629513026838,0.811965811965812,-0.5186028606631281,Incremental
SKG_SA_181,2011,SKG,SA,0.4982314120045609,0.875,-0.3767685879954391,Disruptive
SKG_DIA_253,2011,SKG,DIA,0.4036569746530472,1.0,-0.5963430253469528,Incremental
SKG_MT_789,2011,SKG,MT,0.2785181760031401,0.8125,-0.5339818239968599,Incremental
SKG_MT_1330,2011,SKG,MT,0.2771175587621506,0.8867924528301887,-0.6096748940680381,Incremental
SKG_DIA_288,2011,SKG,DIA,0.3314115059651897,0.8925619834710744,-0.5611504775058846,Incremental
SKG_MT_881,2011,SKG,MT,0.3226309089028236,0.8529411764705882,-0.5303102675677647,Incremental
SKG_SA_343,2011,SKG,SA,0.3854521674200681,0.896551724137931,-0.5110995567178629,Incremental
SKG_SA_351,2011,SKG,SA,0.3845677071681277,0.8625,-0.47793229283187233,Incremental
SKG_SUM_130,2011,SKG,SUM,0.2708352629332883,0.8333333333333334,-0.5624980704000451,Incremental
SKG_SUM_110,2011,SKG,SUM,0.3232720190390531,0.8846153846153846,-0.5613433655763315,Incremental
SKG_MT_800,2011,SKG,MT,0.4163837787360397,0.875,-0.4586162212639603,Incremental
SKG_MT_1277,2011,SKG,MT,0.3239882065824827,0.8761904761904762,-0.5522022696079936,Incremental
SKG_MT_697,2011,SKG,MT,0.3229785448262378,0.9041095890410958,-0.5811310442148581,Incremental
SKG_DIA_213,2011,SKG,DIA,0.295417532461101,0.8157894736842105,-0.5203719412231096,Incremental
SKG_MT_712,2011,SKG,MT,0.3902933081672254,0.8313253012048193,-0.4410319930375939,Incremental
SKG_SA_77,2011,SKG,SA,0.3785385063741336,0.8581560283687943,-0.47961752199466073,Incremental
SKG_MT_919,2011,SKG,MT,0.3217748255463499,0.953125,-0.63135017445365,Incremental
SKG_MT_820,2011,SKG,MT,0.349857494484022,0.9285714285714286,-0.5787139340874066,Incremental
SKG_SA_423,2011,SKG,SA,0.3844714179786402,0.8759124087591241,-0.4914409907804839,Incremental
SKG_MT_813,2011,SKG,MT,0.3650877322844142,0.896551724137931,-0.5314639918535169,Incremental
SKG_DIA_233,2011,SKG,DIA,0.4545340098462987,1.0,-0.5454659901537013,Incremental
SKG_QA_336,2011,SKG,QA,0.2950998976585323,0.8363636363636363,-0.541263738705104,Incremental
SKG_MT_1003,2011,SKG,MT,0.3207482692728218,0.875,-0.5542517307271781,Incremental
SKG_MT_440,2011,SKG,MT,0.3262757590299538,0.9,-0.5737242409700463,Incremental
SKG_MT_308,2011,SKG,MT,0.3854293991390816,0.8275862068965517,-0.4421568077574701,Incremental
SKG_MT_1132,2011,SKG,MT,0.5259927862743368,0.8636363636363636,-0.3376435773620269,Disruptive
SKG_MT_300,2011,SKG,MT,0.2267523773406065,0.8958333333333334,-0.6690809559927269,Incremental
SKG_MT_368,2011,SKG,MT,0.350442998810222,0.8672566371681416,-0.5168136383579196,Incremental
SKG_SUM_80,2011,SKG,SUM,0.257841229129139,0.9345794392523364,-0.6767382101231975,Incremental
SKG_PAR_215,2011,SKG,PAR,0.3975287709295361,0.8181818181818182,-0.42065304725228214,Incremental
SKG_PAR_89,2011,SKG,PAR,0.2779001065402872,1.0,-0.7220998934597128,Incremental
SKG_SUM_45,2011,SKG,SUM,0.2753040035743537,0.9130434782608696,-0.6377394746865159,Incremental
SKG_MT_280,2011,SKG,MT,0.3982392255299519,0.9047619047619048,-0.5065226792319528,Incremental
SKG_QA_5,2011,SKG,QA,0.2425530517665858,0.8932038834951457,-0.6506508317285599,Incremental
SKG_MT_1111,2011,SKG,MT,0.5122247129135439,0.8717948717948718,-0.35957015888132793,Disruptive
SKG_MT_286,2011,SKG,MT,0.4026422903001908,0.8985507246376812,-0.4959084343374904,Incremental
SKG_MT_1129,2011,SKG,MT,0.2909397359721959,0.7037037037037037,-0.4127639677315078,Incremental
SKG_MT_389,2012,SKG,MT,0.6515266445917721,0.8333333333333334,-0.18180668874156125,Disruptive
SKG_MT_283,2012,SKG,MT,0.3099845346354279,0.8592592592592593,-0.5492747246238314,Incremental
SKG_SUM_72,2012,SKG,SUM,0.3488719206797448,0.8365384615384616,-0.48766654085871675,Incremental
SKG_MT_234,2012,SKG,MT,0.327116368289475,0.8648648648648649,-0.5377484965753899,Incremental
SKG_MT_1191,2012,SKG,MT,0.2900090220494637,0.8809523809523809,-0.5909433589029172,Incremental
SKG_MT_1400,2012,SKG,MT,0.2482124956989272,0.7241379310344828,-0.47592543533555554,Incremental
SKG_QA_417,2012,SKG,QA,0.4302144998067413,0.8,-0.36978550019325873,Disruptive
SKG_MT_622,2012,SKG,MT,0.26880126671674,0.9285714285714286,-0.6597701618546886,Incremental
SKG_MT_1425,2012,SKG,MT,0.3609862853237426,0.8225806451612904,-0.46159435983754776,Incremental
SKG_DIA_182,2012,SKG,DIA,0.3521513351075376,0.88,-0.5278486648924624,Incremental
SKG_MT_1236,2012,SKG,MT,0.4134104882906928,0.8723404255319149,-0.4589299372412221,Incremental
SKG_MT_945,2012,SKG,MT,0.3337222478893658,0.8363636363636363,-0.5026413884742705,Incremental
SKG_MT_7,2012,SKG,MT,0.3392907000889265,0.9020618556701032,-0.5627711555811767,Incremental
SKG_MT_576,2012,SKG,MT,0.129786718039937,0.8,-0.670213281960063,Incremental
SKG_SA_554,2012,SKG,SA,0.2861790711898021,0.8737864077669902,-0.5876073365771881,Incremental
SKG_MT_613,2012,SKG,MT,0.333192460881667,0.9,-0.566807539118333,Incremental
SKG_MT_1473,2012,SKG,MT,0.3548043993630158,0.8723404255319149,-0.5175360261688992,Incremental
SKG_MT_92,2012,SKG,MT,0.2477736627576201,0.8095238095238095,-0.5617501467661894,Incremental
SKG_QA_203,2012,SKG,QA,0.3563194324427907,0.819672131147541,-0.4633526987047503,Incremental
SKG_MT_78,2012,SKG,MT,0.2858770639265757,0.9019607843137256,-0.6160837203871499,Incremental
SKG_MT_981,2012,SKG,MT,0.2468432575789797,0.9444444444444444,-0.6976011868654647,Incremental
SKG_MT_74,2012,SKG,MT,0.3454112696134659,0.8235294117647058,-0.47811814215123993,Incremental
SKG_QA_219,2012,SKG,QA,0.5289496223346909,0.9016393442622952,-0.3726897219276043,Disruptive
SKG_MT_89,2012,SKG,MT,0.3648241445283329,0.7946428571428571,-0.4298187126145242,Incremental
SKG_MT_85,2012,SKG,MT,0.3449674752167032,0.7708333333333334,-0.4258658581166302,Incremental
SKG_MT_131,2012,SKG,MT,0.3142703540241391,0.7916666666666666,-0.4773963126425275,Incremental
SKG_SA_565,2012,SKG,SA,0.3046796276844298,0.8666666666666667,-0.5619870389822369,Incremental
SKG_MT_535,2012,SKG,MT,0.3325248419927379,0.8333333333333334,-0.5008084913405955,Incremental
SKG_MT_550,2012,SKG,MT,0.620973127746174,0.8837209302325582,-0.2627478024863842,Disruptive
SKG_MT_93,2012,SKG,MT,0.3939644116384242,0.8604651162790697,-0.4665007046406455,Incremental
SKG_PAR_3,2012,SKG,PAR,0.2676566032917383,0.912087912087912,-0.6444313087961737,Incremental
SKG_MT_415,2012,SKG,MT,0.3458264299596938,0.8461538461538461,-0.5003274161941523,Incremental
SKG_MT_480,2012,SKG,MT,0.2192755051462142,0.8507462686567164,-0.6314707635105022,Incremental
SKG_MT_1228,2012,SKG,MT,0.3188536735968133,0.8205128205128205,-0.5016591469160072,Incremental
SKG_MT_1209,2012,SKG,MT,0.3919546022416053,0.9285714285714286,-0.5366168263298233,Incremental
SKG_MT_453,2012,SKG,MT,0.3639816112008307,0.847457627118644,-0.4834760159178133,Incremental
SKG_MT_469,2012,SKG,MT,0.2921163842597101,0.8961038961038961,-0.603987511844186,Incremental
SKG_MT_239,2012,SKG,MT,0.441728806844166,0.7894736842105263,-0.34774487736636034,Disruptive
SKG_SUM_59,2012,SKG,SUM,0.3476124247625203,0.9391891891891893,-0.591576764426669,Incremental
SKG_MT_1077,2012,SKG,MT,0.3422656152958325,0.8490566037735849,-0.5067909884777524,Incremental
