paper_id,domain,year,disruption_index,final_novelty_score
NOVEL_SA_W4295795036,SA,2022,0.6575468167316125,0.6575468167316125
NOVEL_DIA_W1511604355,DIA,2025,0.6045460381004317,0.6045460381004317
NOVEL_MT_W4283721142,MT,2022,0.585868756413889,0.585868756413889
NOVEL_SA_W4380520708,SA,2022,0.56536198607322,0.56536198607322
NOVEL_DIA_W4319439342,DIA,2023,0.5443128820408024,0.5443128820408024
NOVEL_DIA_W4205178534,DIA,2022,0.5043577085495897,0.5043577085495897
NOVEL_MT_W4224050897,MT,2022,0.4895489480610719,0.4895489480610719
NOVEL_MT_W4205713819,MT,2022,0.4891760838145278,0.4891760838145278
NOVEL_MT_W4289261621,MT,2022,0.4876492200241661,0.4876492200241661
NOVEL_MT_W4210521984,MT,2022,0.483456667244276,0.483456667244276
NOVEL_MT_W4376871556,MT,2023,0.4816011508782049,0.4816011508782049
NOVEL_SA_W4295048810,SA,2022,0.4815481482096238,0.4815481482096238
NOVEL_MT_W4210920041,MT,2022,0.4730976479626304,0.4730976479626304
NOVEL_MT_W4385799520,MT,2023,0.465497799127066,0.465497799127066
NOVEL_MT_W4281901970,MT,2022,0.4623791902949343,0.4623791902949343
NOVEL_SA_W4220825176,SA,2022,0.4585286049284245,0.4585286049284245
NOVEL_MT_W4308165701,MT,2022,0.4584708910823308,0.4584708910823308
NOVEL_MT_W4214917757,MT,2022,0.4565593607773633,0.4565593607773633
NOVEL_SA_W4297256710,SA,2022,0.4518665056139374,0.4518665056139374
NOVEL_SA_W4290932423,SA,2022,0.4470868368323712,0.4470868368323712
