paper_id,structural_novelty,triple_count
SKG_SUM_147,0.9310344827586207,29
SKG_MT_131,0.7916666666666666,96
SKG_MT_576,0.8,10
SKG_DIA_182,0.88,25
SKG_MT_1228,0.8205128205128205,39
SKG_MT_1395,0.8113207547169812,106
SKG_MT_389,0.8333333333333334,6
SKG_MT_1421,0.9175257731958762,97
SKG_MT_1400,0.7241379310344828,29
SKG_QA_487,0.75,60
SKG_MT_550,0.8837209302325582,86
SKG_MT_1209,0.9285714285714286,70
SKG_MT_865,0.8225806451612904,62
SKG_MT_832,0.8571428571428571,70
SKG_MT_1191,0.8809523809523809,42
SKG_DIA_231,0.8666666666666667,15
SKG_MT_1165,0.8732394366197183,71
SKG_MT_835,0.9545454545454546,22
SKG_MT_535,0.8333333333333334,114
SKG_PAR_127,0.9,50
SKG_MT_1177,0.8602941176470589,136
SKG_SUM_0,0.8235294117647058,187
SKG_MT_147,0.7818181818181819,55
SKG_MT_845,0.8558558558558559,111
SKG_MT_376,0.8779342723004695,213
SKG_SA_469,0.9375,16
SKG_DIA_220,0.7647058823529411,68
SKG_SA_484,0.8421052631578947,38
SKG_MT_1169,0.7972972972972973,74
SKG_PAR_139,0.8615384615384616,65
SKG_QA_424,0.825,80
SKG_MT_150,0.8165137614678899,109
SKG_MT_375,0.7837837837837838,37
SKG_MT_156,0.726027397260274,73
SKG_SUM_193,0.780952380952381,105
SKG_SA_435,0.8807947019867549,151
SKG_MT_1211,0.7368421052631579,38
SKG_SUM_180,0.9210526315789473,76
SKG_MT_829,0.8205128205128205,39
SKG_QA_385,0.8282828282828283,99
SKG_MT_824,0.8918918918918919,37
SKG_PAR_106,0.8611111111111112,72
SKG_MT_1225,0.8333333333333334,24
SKG_QA_12,0.8,135
SKG_MT_178,0.7419354838709677,62
SKG_MT_372,0.7560975609756098,82
SKG_MT_371,0.8581560283687943,141
SKG_MT_1242,0.7745098039215687,102
SKG_MT_1101,0.8279569892473119,93
SKG_SA_414,0.8703703703703703,54
SKG_MT_180,0.8050314465408805,159
SKG_MT_1090,0.8681318681318682,182
SKG_MT_1244,0.8309859154929577,71
SKG_MT_705,0.8155339805825242,103
SKG_MT_706,0.8235294117647058,85
SKG_MT_1082,0.8301886792452831,159
SKG_MT_1248,0.8125,112
SKG_MT_682,0.82,100
SKG_PAR_204,0.8409090909090909,88
SKG_SA_4,0.9096774193548387,155
SKG_MT_515,0.864516129032258,155
SKG_MT_681,0.8102189781021898,137
SKG_SA_526,0.8629032258064516,124
SKG_MT_707,0.8478260869565217,138
SKG_MT_708,0.7560975609756098,82
SKG_MT_1069,0.8823529411764706,51
SKG_MT_1386,0.8426966292134831,178
SKG_MT_869,0.9117647058823529,68
SKG_MT_572,0.8478260869565217,46
SKG_SUM_155,0.9117647058823529,68
SKG_PAR_56,0.8431372549019608,51
SKG_SUM_154,0.8297872340425532,47
SKG_PAR_53,0.8588235294117647,85
SKG_PAR_52,0.7142857142857143,35
SKG_MT_200,0.864516129032258,155
SKG_MT_337,0.7906976744186046,129
SKG_MT_719,0.8450704225352113,71
SKG_SA_557,0.7213114754098361,61
SKG_MT_1280,0.8269230769230769,52
SKG_MT_725,0.8292682926829268,82
SKG_MT_332,0.8409090909090909,44
SKG_MT_500,0.7647058823529411,51
SKG_MT_1282,0.7362637362637363,91
SKG_QA_3,0.9315068493150684,73
SKG_SA_318,0.8,85
