domain,split,count,composite_mean,composite_std,structural_mean,semantic_mean,triple_mean
DIA,NOVEL,240,0.6928,0.0946,0.3315,0.9194,82.725
DIA,SKG,336,0.7503,0.0827,0.6122,0.9266,121.3155
MT,NOVEL,258,0.7272,0.1109,0.5159,0.9302,101.124
MT,SKG,1055,0.7801,0.0657,0.7267,0.938,109.7602
NLI,SKG,127,0.7089,0.1078,0.3665,0.9206,132.7559
PAR,SKG,261,0.7503,0.0941,0.6258,0.9271,139.4444
QA,NOVEL,88,0.7697,0.0711,0.5736,0.9493,106.9773
QA,SKG,421,0.7554,0.0784,0.6247,0.9285,112.9335
SA,NOVEL,111,0.7207,0.1253,0.4656,0.9259,119.4595
SA,SKG,449,0.7625,0.0793,0.6516,0.9305,118.6659
SUM,NOVEL,65,0.7879,0.0657,0.6422,0.9515,110.8
SUM,SKG,267,0.7224,0.108,0.4938,0.9204,91.6554
