entity_id,name,domain,first_year,origin_domain,origin_year
E_0d754e83f7,slightly outperforms,MT,2010.0,MT,2010.0
E_0d754e83f7,slightly outperforms,SA,2010.0,MT,2010.0
E_0d754e83f7,slightly outperforms,QA,2020.0,MT,2010.0
E_0d9545da20,endothelial,DIA,2022.0,SUM,2022.0
E_0d9545da20,endothelial,MT,2022.0,SUM,2022.0
E_0d9545da20,endothelial,QA,2022.0,SUM,2022.0
E_0d9545da20,endothelial,SUM,2022.0,SUM,2022.0
E_0de55191ab,extractive summarization,SUM,2010.0,SUM,2010.0
E_0de55191ab,extractive summarization,DIA,2020.0,SUM,2010.0
E_0e59167694,dependencies,SA,2012.0,SA,2012.0
E_0e59167694,dependencies,MT,2013.0,SA,2012.0
E_0e59167694,dependencies,QA,2015.0,SA,2012.0
E_0e59167694,dependencies,DIA,2020.0,SA,2012.0
E_0e78b8c364,collaborative,QA,2018.0,QA,2018.0
E_0e78b8c364,collaborative,DIA,2022.0,QA,2018.0
E_0e78b8c364,collaborative,MT,2022.0,QA,2018.0
E_0e78b8c364,collaborative,SA,2022.0,QA,2018.0
E_0e9b9b6a08,stochastic gradient descent,MT,2013.0,MT,2013.0
E_0e9b9b6a08,stochastic gradient descent,SA,2015.0,MT,2013.0
E_0e9b9b6a08,stochastic gradient descent,DIA,2016.0,MT,2013.0
E_0e9b9b6a08,stochastic gradient descent,QA,2016.0,MT,2013.0
E_0e9b9b6a08,stochastic gradient descent,SUM,2020.0,MT,2013.0
E_0f52f68262,rouge -l,SUM,2018.0,SUM,2018.0
E_0f52f68262,rouge -l,DIA,2019.0,SUM,2018.0
E_0f52f68262,rouge -l,QA,2019.0,SUM,2018.0
E_0f68937d06,comparable performance,MT,2010.0,MT,2010.0
E_0f68937d06,comparable performance,QA,2011.0,MT,2010.0
E_0f68937d06,comparable performance,SA,2011.0,MT,2010.0
E_0f68937d06,comparable performance,SUM,2015.0,MT,2010.0
E_0f68937d06,comparable performance,DIA,2019.0,MT,2010.0
E_0f81d52e06,updated,SA,2017.0,SA,2017.0
E_0f81d52e06,updated,QA,2018.0,SA,2017.0
E_0f81d52e06,updated,DIA,2022.0,SA,2017.0
E_0f81d52e06,updated,MT,2022.0,SA,2017.0
E_0f81d52e06,updated,SUM,2022.0,SA,2017.0
E_0fbc0de296,autophagy,DIA,2022.0,DIA,2022.0
E_0fbc0de296,autophagy,MT,2022.0,DIA,2022.0
