paper_id,year,semantic_knn,structural_novelty,triple_count,cited_by_count,reference_count,citation_signal,struct_norm,semantic_norm,citation_norm,composite_novelty,n_triples,mean_dist,min_dist,pct_unseen_entity,pct_unseen_pred,transe_unexpectedness,n_citations,mean_link_prob,tgn_unexpectedness,kg_unexpectedness,disruptiveness,disruption_class,rank
NOVEL_SA_7,2021,0.9899052381515504,0.8333333333333334,24.0,273,55,5.613128106388071,0.8333333325,0.9764978727632356,0.6037286690570197,0.910588044339967,24.0,2.1524456,1.4581311,0.0,0.0,0.63829833,14.0,0.5526683888265065,0.6292662690620788,0.6337823008766357,1.0,DISRUPTIVE,1
NOVEL_SA_14,2021,0.9898055791854858,0.7394957983193278,119.0,143,53,4.969813299576001,0.7394957975798319,0.9762658516909336,0.5345359507117325,0.8847388507707932,119.0,2.188247,1.4672455,0.0,0.0,0.6743368,14.0,0.5505124126161848,0.6324296766730514,0.6533832338557823,0.9840840109580531,DISRUPTIVE,2
NOVEL_DIA_49,2021,0.9462920427322388,0.9375,16.0,11,57,2.4849066497880004,0.9374999990625,0.8749597897656796,0.2672679753558662,0.8266986501840622,16.0,2.5117683,1.554746,0.0,0.0,1.0,10.0,0.5944689816236496,0.5679333504683622,0.7839666752341812,0.9821904988964237,DISRUPTIVE,3
NOVEL_DIA_W4386347795,2023,0.9310604333877563,1.0,8.0,367,25,5.908082938168931,0.999999999,0.8394983107583058,0.6354529918673862,0.8511941165175527,8.0,1.8911037,1.2990102,0.0,0.0,0.37522632,25.0,0.3,0.9999999999999997,0.6876131594181059,0.9668673152885459,DISRUPTIVE,4
NOVEL_DIA_W3205786327,2022,0.915517807006836,0.998708844415752,1549.0,480,302,6.175867270105761,0.9987088434170432,0.8033127372800761,0.664254949572673,0.8284861797367291,1549.0,1.9894309,1.2913405,0.0,0.0,0.47420445,302.0,0.3,0.9999999999999997,0.737102225422859,0.9655006009654187,DISRUPTIVE,5
NOVEL_MT_15,2021,0.9905717968940736,0.7878787878787878,66.0,58,38,4.07753744390572,0.787878787090909,0.9780497218371308,0.4385658419656898,0.8860671469007424,66.0,2.2707138,1.4754113,0.0,0.0,0.75734955,3.0,0.6812068541844685,0.4406651343791287,0.5990073425515792,0.9640388246747488,DISRUPTIVE,6
NOVEL_MT_183,2021,0.931450366973877,1.0,4.0,5,79,1.791759469228055,0.999999999,0.8404061348342623,0.1927154590318873,0.8075558400871723,4.0,2.471696,2.2478037,0.0,0.0,0.95966226,13.0,0.5990659975088559,0.5611882690665345,0.7604252638457825,0.9555264221266704,DISRUPTIVE,7
NOVEL_DIA_41,2021,0.9848536252975464,0.75,152.0,35,47,3.58351893845611,0.7499999992499999,0.9647369577394708,0.3854309180637747,0.863858962074007,152.0,2.1671953,1.4727666,0.0,0.0,0.65314573,9.0,0.5721054938104417,0.6007467123308474,0.6269462214131502,0.9547034931799121,DISRUPTIVE,8
NOVEL_SA_3,2021,0.9762760400772096,0.8064516129032258,124.0,108,51,4.691347882229144,0.8064516120967741,0.9447670483657696,0.50458517235663,0.8730857735110565,124.0,2.2554097,1.4845824,0.0,0.0,0.7419442,3.0,0.66214994986852,0.46862683259548016,0.6052855132177535,0.9546520940085728,DISRUPTIVE,9
NOVEL_SA_17,2021,0.9819279909133912,0.7338709677419355,124.0,156,51,5.056245805348308,0.7338709670080644,0.9579256405667026,0.5438323324589783,0.8717053750442025,124.0,2.089371,1.4968231,0.0,0.0,0.57480615,20.0,0.5530383345484734,0.6287234573617854,0.6017648055680234,0.9520166315857793,DISRUPTIVE,10
NOVEL_QA_44,2021,0.979805827140808,0.7983193277310925,119.0,143,46,4.969813299576001,0.7983193269327731,0.9529849239050762,0.5345359507117325,0.8802069071912813,119.0,2.191972,1.4845012,0.0,0.0,0.67808646,4.0,0.6626374006271362,0.46791160882241706,0.5729990342295527,0.948526131951021,DISRUPTIVE,11
NOVEL_SA_W4220866631,2022,0.9079337120056152,0.9980657640232108,517.0,413,227,6.025865973825314,0.9980657630251448,0.7856558226630305,0.6481213283112662,0.8143843613002769,517.0,1.96085,1.2524006,0.0,0.0,0.44543433,227.0,0.29999999999999993,0.9999999999999999,0.7227171659469604,0.9470141158248787,DISRUPTIVE,12
