paper_id,year,semantic_novelty,structural_novelty,triple_count,cited_by_count,reference_count,citation_signal,struct_norm,semantic_norm,citation_norm,composite_novelty
SKG_SUM_7,2010,1.0,0.9702380952380952,336.0,20,26,3.044522437723423,0.970238094267857,0.999999999,0.336536105918453,0.9187726573257738
SKG_MT_1325,2010,1.0,0.9532710280373832,107.0,34,21,3.5553480614894135,0.953271027084112,0.999999999,0.3930018636003441,0.9159356995020904
SKG_MT_1231,2010,1.0,0.9322033898305084,59.0,4,14,1.6094379124341003,0.932203388898305,0.999999999,0.17790440991891962,0.8838921350410446
SKG_MT_1232,2010,1.0,0.9052631578947368,95.0,14,13,2.70805020110221,0.9052631569894736,0.999999999,0.29934306215594814,0.8825658843103317
SKG_MT_388,2010,1.0,0.9344262295081968,61.0,32,29,3.4965075614664802,0.9344262285737704,0.999999999,0.38649773917588437,0.9058628878044737
SKG_MT_1313,2010,1.0,0.88,50.0,7,24,2.0794415416798357,0.8799999991199999,0.999999999,0.2298577767898749,0.8629857768389875
SKG_MT_1320,2010,1.0,0.9629629629629628,54.0,2,13,1.0986122886681098,0.9629629619999998,0.999999999,0.12143865223702852,0.8936253458237028
SKG_MT_157,2010,1.0,0.9361702127659576,47.0,19,17,2.995732273553991,0.9361702118297873,0.999999999,0.33114292777883625,0.9011993982927773
SKG_MT_1199,2010,1.0,0.9545454545454546,22.0,3,18,1.3862943611198906,0.954545453590909,0.999999999,0.15323851785991663,0.8925965781814462
SKG_MT_61,2010,1.0,0.8901098901098901,91.0,13,27,2.6390573296152584,0.8901098892197801,0.999999999,0.29171671261138277,0.8742266154710283
SKG_MT_1193,2010,1.0,0.936842105263158,95.0,4,29,1.6094379124341003,0.9368421043263159,0.999999999,0.17790440991891962,0.88621149275505
SKG_MT_15,2010,1.0,0.9545454545454546,22.0,8,7,2.1972245773362196,0.954545453590909,0.999999999,0.24287730447405703,0.9015604568428602
SKG_MT_17,2010,1.0,0.5,2.0,41,3,3.7376696182833684,0.49999999949999996,0.999999999,0.4131553648484113,0.6913155358348412
SKG_MT_1375,2010,1.0,0.6619718309859155,71.0,7,15,2.0794415416798357,0.6619718303239436,0.999999999,0.2298577767898749,0.7539716924409593
SKG_MT_1384,2010,1.0,0.8904109589041096,146.0,30,13,3.4339872044851463,0.8904109580136985,0.999999999,0.3795868498953761,0.8831641635963868
SKG_MT_1394,2010,1.0,0.8571428571428571,28.0,2,13,1.0986122886681098,0.8571428562857142,0.999999999,0.12143865223702852,0.8407152929665599
SKG_MT_646,2010,1.0,0.9,30.0,17,11,2.8903717578961645,0.8999999991,0.999999999,0.3194965634040153,0.8819496554904015
SKG_MT_174,2010,1.0,0.8888888888888888,18.0,24,15,3.2188758248682006,0.8888888879999999,0.999999999,0.35580881983783924,0.880025325583784
SKG_MT_194,2010,1.0,0.8556701030927835,97.0,30,63,3.4339872044851463,0.8556701022371133,0.999999999,0.3795868498953761,0.8657937357080943
SKG_MT_196,2010,1.0,1.0,17.0,61,9,4.127134385045092,0.9999999989999999,0.999999999,0.4562061088253344,0.9456206099825335
SKG_PAR_69,2010,1.0,0.9344262295081968,61.0,75,34,4.330733340286331,0.9344262285737704,0.999999999,0.4787115759281447,0.9150842714796997
SKG_MT_1151,2010,1.0,0.9142857142857144,70.0,3,17,1.3862943611198906,0.9142857133714286,0.999999999,0.15323851785991663,0.8724667080717061
SKG_MT_1167,2010,1.0,0.945945945945946,74.0,7,15,2.0794415416798357,0.9459459450000001,0.999999999,0.2298577767898749,0.8959587497789876
SKG_PAR_87,2010,1.0,0.9261744966442952,149.0,9,31,2.302585092994046,0.9261744957181206,0.999999999,0.25452366884887795,0.8885396143439481
SKG_MT_287,2010,1.0,0.9411764705882352,85.0,0,14,0.0,0.9411764696470586,0.999999999,0.0,0.8705882344235294
SKG_MT_1074,2010,1.0,0.8787878787878788,99.0,59,30,4.0943445622221,0.8787878779090909,0.999999999,0.45258158001586474,0.884652096556132
SKG_QA_101,2010,1.0,0.8695652173913043,23.0,246,35,5.5093883366279774,0.869565216521739,0.999999999,0.6089980069871823,0.8956824085595878
SKG_PAR_202,2010,1.0,0.9056603773584906,53.0,4,20,1.6094379124341003,0.9056603764528302,0.999999999,0.17790440991891962,0.870620628818307
SKG_PAR_219,2010,1.0,0.9051724137931034,116.0,29,25,3.4011973816621555,0.9051724128879309,0.999999999,0.37596232108590644,0.8901824381525562
SKG_MT_390,2010,1.0,0.96,25.0,20,10,3.044522437723423,0.9599999990399999,0.999999999,0.336536105918453,0.9136536097118454
SKG_MT_968,2010,1.0,1.0,66.0,7,15,2.0794415416798357,0.9999999989999999,0.999999999,0.2298577767898749,0.9229857767789875
SKG_QA_416,2010,1.0,0.9047619047619048,42.0,2,7,1.0986122886681098,0.9047619038571428,0.999999999,0.12143865223702852,0.8645248167522742
SKG_SA_527,2010,1.0,0.9339622641509434,106.0,41,18,3.7376696182833684,0.9339622632169811,0.999999999,0.4131553648484113,0.9082966676933316
SKG_MT_603,2010,1.0,0.979591836734694,49.0,15,27,2.772588722239781,0.979591835755102,0.999999999,0.30647703571983326,0.9204436210495344
